COD_CURSO,NOME_UNIDADE,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_DISCIPLINA,COD_PRE_REQ,NOME_PRE_REQ,TIPO_REQUISITO,NUM_REFERENCIA,ITEM_TABELA,ID_ESTRUTURA_CUR,PERIODO_IDEAL
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI067,OFICINA DE COMPUTACAO,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,2
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI166,Metodologia Científica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CM005,Álgebra Linear,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CM045,Geometria Analítica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI162,Engenharia de Requisitos,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,6
